Kuupäev,Hind,Garderoob-Radiaator,Köök-Nõudepesumasin,Magamis-Radiaator,Paul-Kontor,Paul-Radiaator,Saal-Patareid
2023-08-06 05:00:00+03:00,59.91,väljas,väljas,väljas,sees,väljas,väljas
2023-08-06 06:00:00+03:00,56.42,väljas,väljas,väljas,sees,väljas,väljas
2023-08-06 07:00:00+03:00,49.15,väljas,väljas,väljas,sees,väljas,väljas
2023-08-06 08:00:00+03:00,62.12,väljas,väljas,väljas,sees,väljas,väljas
2023-08-06 09:00:00+03:00,15.99,sees,väljas,sees,sees,sees,väljas
2023-08-06 10:00:00+03:00,16.3,sees,väljas,sees,sees,sees,väljas
2023-08-06 11:00:00+03:00,16.69,sees,väljas,sees,sees,sees,väljas
2023-08-06 12:00:00+03:00,16.39,sees,väljas,sees,sees,sees,väljas
2023-08-06 13:00:00+03:00,16.24,sees,väljas,sees,sees,sees,väljas
2023-08-06 14:00:00+03:00,11.71,sees,väljas,sees,sees,sees,väljas
2023-08-06 15:00:00+03:00,11.96,sees,väljas,sees,sees,sees,väljas
2023-08-06 16:00:00+03:00,9.09,sees,sees,sees,sees,sees,sees
2023-08-06 17:00:00+03:00,11.81,sees,sees,sees,sees,sees,väljas
2023-08-06 18:00:00+03:00,33.52,sees,väljas,sees,sees,sees,väljas
2023-08-06 19:00:00+03:00,61.39,sees,väljas,sees,sees,sees,väljas
2023-08-06 20:00:00+03:00,74.64,sees,väljas,sees,sees,sees,väljas
2023-08-06 21:00:00+03:00,83.02,sees,väljas,sees,sees,sees,väljas
2023-08-06 22:00:00+03:00,83.92,sees,väljas,sees,sees,sees,väljas
2023-08-06 23:00:00+03:00,37.1,sees,väljas,sees,sees,sees,väljas
2023-08-07 00:00:00+03:00,10.0,sees,väljas,sees,sees,sees,väljas
2023-08-07 00:00:00+03:00,10.0,sees,väljas,sees,sees,sees,väljas
2023-08-07 01:00:00+03:00,4.0,sees,väljas,sees,sees,sees,väljas
2023-08-07 02:00:00+03:00,2.52,sees,väljas,sees,sees,sees,väljas
2023-08-07 03:00:00+03:00,22.2,sees,väljas,sees,sees,sees,väljas
2023-08-07 04:00:00+03:00,6.98,sees,väljas,sees,sees,sees,väljas
2023-08-07 05:00:00+03:00,4.72,sees,väljas,sees,sees,sees,väljas
2023-08-07 06:00:00+03:00,4.18,sees,väljas,sees,sees,sees,väljas
2023-08-07 07:00:00+03:00,66.22,väljas,väljas,väljas,sees,väljas,väljas
2023-08-07 08:00:00+03:00,72.38,väljas,väljas,väljas,sees,väljas,väljas
2023-08-07 09:00:00+03:00,40.0,väljas,väljas,väljas,sees,väljas,väljas
2023-08-07 10:00:00+03:00,4.96,sees,väljas,sees,sees,sees,väljas
2023-08-07 11:00:00+03:00,4.07,sees,väljas,sees,sees,sees,väljas
2023-08-07 12:00:00+03:00,1.0,sees,väljas,sees,sees,sees,väljas
2023-08-07 13:00:00+03:00,-0.01,sees,sees,sees,sees,sees,sees
2023-08-07 14:00:00+03:00,-0.01,sees,sees,sees,sees,sees,väljas
2023-08-07 15:00:00+03:00,0.0,sees,väljas,sees,sees,sees,väljas
2023-08-07 16:00:00+03:00,10.0,sees,väljas,sees,sees,sees,väljas
2023-08-07 17:00:00+03:00,34.37,sees,väljas,sees,sees,sees,väljas
2023-08-07 18:00:00+03:00,77.7,väljas,väljas,väljas,sees,väljas,väljas
